time	3-T
2021-02-21T13:24:20.746Z	968
2021-02-21T13:24:22.746Z	969
2021-02-21T13:24:24.746Z	969
2021-02-21T13:24:26.749Z	970
2021-02-21T13:24:28.748Z	971
2021-02-21T13:24:30.749Z	971
2021-02-21T13:24:32.751Z	972
2021-02-21T13:24:34.751Z	972
2021-02-21T13:24:36.751Z	973
2021-02-21T13:24:38.752Z	974
2021-02-21T13:24:40.753Z	974
2021-02-21T13:24:42.754Z	975
2021-02-21T13:24:44.755Z	975
2021-02-21T13:24:46.755Z	976
2021-02-21T13:24:48.755Z	977
2021-02-21T13:24:50.755Z	977
2021-02-21T13:24:52.755Z	978
2021-02-21T13:24:54.756Z	978
2021-02-21T13:24:56.756Z	979
2021-02-21T13:24:58.756Z	979
2021-02-21T13:25:00.757Z	980
2021-02-21T13:25:02.758Z	980
2021-02-21T13:25:04.758Z	981
2021-02-21T13:25:06.758Z	981
2021-02-21T13:25:08.758Z	982
2021-02-21T13:25:10.759Z	982
2021-02-21T13:25:12.759Z	983
2021-02-21T13:25:14.758Z	983
2021-02-21T13:25:16.759Z	984
2021-02-21T13:25:18.759Z	984
2021-02-21T13:25:20.760Z	985
2021-02-21T13:25:22.760Z	985
2021-02-21T13:25:24.761Z	986
2021-02-21T13:25:26.761Z	986
2021-02-21T13:25:28.762Z	986
2021-02-21T13:25:30.762Z	987
